,GPA_NO,TOFEL,SATI,RankGroup,result
1657,90.2,82,1780,3,1
1658,90.2,82,1780,3,1
1659,90.2,82,1780,3,-1
1660,90.2,82,1780,3,1
1661,90.2,82,1780,3,-1
1662,90.2,82,1780,2,-1
1663,90.2,82,1780,3,1
1664,89.7,89,1680,3,1
1665,89.7,89,1680,3,1
1666,89.7,89,1680,3,1
1667,89.7,89,1680,3,1
1668,89.7,89,1680,3,-1
1669,89.7,89,1680,2,-1
1670,92.4,99,1790,3,1
1671,92.4,99,1790,2,1
1672,92.4,99,1790,3,1
1673,92.4,99,1790,2,1
1674,92.4,99,1790,2,1
1675,92.4,99,1790,3,1
1676,92.4,99,1790,2,1
1677,92.4,99,1790,3,1
1678,91,90,1880,3,1
1679,91,90,1880,2,-1
1680,91,90,1880,2,-1
1681,91,90,1880,3,1
1682,91,90,1880,2,-1
1683,91,90,1880,2,-1
1684,91,88,1690,3,1
1685,91,88,1690,3,-1
1686,91,88,1690,3,1
1687,91,88,1690,3,1
1688,91,88,1690,3,-1
1689,91,88,1690,4,1
1690,86.35,91,1651,2,-1
1691,86.35,91,1651,3,1
1692,86.35,91,1651,3,-1
1693,86.35,91,1651,3,-1
1694,86.35,91,1651,3,-1
1695,86.35,91,1651,3,1
1696,94,97,1920,2,-1
1697,94,97,1920,2,-1
1698,94,97,1920,3,-1
1699,94,97,1920,3,1
1700,94,97,1920,2,1
1701,94,97,1920,2,1
1702,94,97,1920,2,-1
1703,92,96,1510,2,1
1704,92,96,1510,2,-1
1705,92,96,1510,3,-1
1706,92,96,1510,3,1
1707,92,96,1510,3,1
1708,92,96,1510,3,1
1709,88.3,91,1610,3,1
1710,88.3,91,1610,3,1
1711,88.3,91,1610,3,1
1712,88.3,91,1610,3,1
1713,87.2,91,1530,2,-1
1714,87.2,91,1530,2,1
1715,87.2,91,1530,3,-1
1716,87.2,91,1530,3,1
1717,87.2,91,1530,3,1
1718,87.2,91,1530,4,1
1719,91.3,97,2050,2,-1
1720,91.3,97,2050,2,1
1721,91.3,97,2050,2,1
1722,91.3,97,2050,3,-1
1723,86.8,100,2000,2,-1
1724,86.8,100,2000,2,-1
1725,86.8,100,2000,3,1
1726,86.8,100,2000,3,1
1727,86.8,100,2000,3,1
1728,93.02,100,1970,3,1
1729,93.02,100,1970,3,1
1730,93.02,100,1970,3,1
1731,92,100,1910,2,1
1732,92,100,1910,2,1
1733,92,100,1910,2,1
1734,92,100,1910,2,1
1735,92,100,1910,2,-1
1736,92,99,2010,2,1
1737,92,99,2010,2,1
1738,92,99,2010,3,1
1739,92,99,2010,2,-1
1740,92,99,2010,2,-1
1741,91,105,1830,2,1
1742,91,105,1830,2,1
1743,91,105,1830,3,1
1744,91,105,1830,2,-1
1745,91,105,1830,2,-1
1746,91,105,1830,2,-1
1747,93,104,1930,2,1
1748,93,104,1930,3,1
1749,93,104,1930,3,1
1750,93,104,1930,3,1
1751,93,104,1930,2,1
1752,93,104,1930,2,-1
1753,93,104,1930,2,-1
1754,92,104,2160,2,1
1755,92,104,2160,2,1
1756,92,104,2160,3,1
1757,92,104,2160,3,1
1758,92,104,2160,2,-1
1759,92,104,2160,2,-1
1760,92,104,2160,2,-1
1761,92,104,2160,2,-1
1762,92,104,2160,2,-1
1763,91,109,2070,2,1
1764,91,109,2070,2,1
1765,91,109,2070,2,1
1766,91,109,2070,2,-1
1767,91,109,2070,2,-1
1768,91,109,2070,2,-1
1769,91,109,2070,2,-1
1770,91,109,2070,2,-1
1771,91,109,2070,2,-1
1772,93,103,2070,2,1
1773,93,103,2070,3,1
1774,93,103,2070,2,-1
1775,93,103,2070,2,-1
1776,93,103,2070,2,-1
1777,90,90,1760,3,1
1778,90,90,1760,3,1
1779,90,90,1760,3,1
1780,90,90,1760,3,1
1781,90,90,1760,3,1
1782,90,90,1760,3,-1
1783,90,90,1760,2,-1
1784,91,105,1510,2,1
1785,91,105,1510,2,-1
1786,91,105,1510,3,-1
1787,91,105,1510,3,-1
1788,90,90,1900,3,1
1789,90,90,1900,3,1
1790,90,90,1900,2,-1
1791,92.5,79,1620,3,-1
1792,92.5,79,1620,3,-1
1793,92.5,79,1620,3,-1
1794,95,99,1790,3,1
1795,95,99,1790,3,1
1796,95,99,1790,2,-1
1797,95,99,1790,2,-1
1798,95,103,2000,2,-1
1799,95,103,2000,2,-1
1800,95,103,2000,2,-1
1801,95,103,2000,2,-1
1802,95,103,2000,3,1
1803,94,84,1610,3,1
1804,94,84,1610,3,1
1805,94,84,1610,3,1
1806,92,97,1880,2,1
1807,92,97,1880,2,1
1808,92,97,1880,3,1
1809,92,97,1880,3,1
1810,92,97,1880,3,1
1811,92,97,1880,2,-1
1812,92,97,1880,2,-1
1813,92,97,1880,2,-1
1814,90,85,1640,3,1
1815,90,85,1640,2,-1
1816,90,85,1640,3,1
1817,90,85,1640,3,1
1818,90,85,1640,3,-1
1819,89,90,1820,3,1
1820,89,90,1820,3,1
1821,89,90,1820,3,1
1822,89,90,1820,3,-1
1823,89,90,1820,2,-1
1824,89,90,1820,2,-1
1825,89,90,1820,3,-1
1826,100,107,2100,2,1
1827,100,107,2100,2,-1
1828,100,107,2100,2,1
1829,100,107,2100,2,-1
1830,100,107,2100,2,-1
1831,100,107,2100,2,-1
1832,100,107,2100,2,-1
1833,100,107,2100,2,-1
1834,92,101,2010,2,1
1835,92,101,2010,2,1
1836,92,101,2010,2,1
1837,92,101,2010,2,1
1838,92,101,2010,3,1
1839,92,101,2010,2,-1
1840,92,101,2010,2,-1
1841,92,101,2010,2,-1
1842,91,91,1750,3,1
1843,91,91,1750,3,-1
1844,91,91,1750,3,-1
1845,91,91,1750,3,-1
1846,91,91,1750,3,-1
1847,91,91,1750,3,-1
1848,89,101,1830,2,-1
1849,89,101,1830,2,-1
1850,89,101,1830,2,1
1851,89,101,1830,2,1
1852,89,101,1830,3,1
1853,89,98,2010,2,-1
1854,89,98,2010,2,-1
1855,89,98,2010,2,1
1856,89,98,2010,2,-1
1857,89,98,2010,2,1
1858,89,98,2010,2,-1
1859,89,98,2010,2,-1
1860,89,98,2010,2,1
1861,89,98,2010,2,-1
1862,89,98,2010,2,-1
1863,89,98,2010,3,1
1864,94,94,1880,2,-1
1865,94,94,1880,3,1
1866,94,94,1880,3,1
1867,92,93,1420,2,-1
1868,92,93,1420,2,-1
1869,92,93,1420,2,-1
1870,92,93,1420,2,-1
1871,92,93,1420,3,1
1872,92,93,1420,3,1
1873,85,80,1620,3,1
1874,85,80,1620,3,1
1875,85,80,1620,3,-1
1876,85,73,1750,3,1
1877,85,73,1750,4,1
1878,85,73,1750,4,1
1879,85,73,1750,3,-1
1880,90,84,1770,2,-1
1881,90,84,1770,2,-1
1882,90,84,1770,2,-1
1883,90,84,1770,3,1
1884,90,84,1770,3,1
1885,90,84,1770,3,1
1886,87,85,1730,2,-1
1887,87,85,1730,2,1
1888,87,85,1730,3,1
1889,87,85,1730,3,1
1890,87,85,1730,3,1
1891,87,85,1730,3,-1
1892,87,85,1730,2,-1
1893,87,85,1730,3,1
1894,87,85,1730,3,1
1895,87,85,1730,2,-1
1896,85,96,2040,2,-1
1897,85,96,2040,1,1
1898,85,96,2040,2,-1
1899,85,96,2040,2,-1
1900,85,96,2040,3,1
1901,85,96,2040,3,1
1902,85,96,2040,3,-1
1903,85,96,2040,3,1
1904,90,73,1780,3,1
1905,90,73,1780,3,-1
1906,90,73,1780,3,1
1907,90,73,1780,4,1
1908,90,68,1780,3,1
1909,90,68,1780,3,-1
1910,90,68,1780,4,1
1911,85,87,1590,2,-1
1912,85,87,1590,2,-1
1913,85,87,1590,2,-1
1914,85,87,1590,2,-1
1915,85,87,1590,2,-1
1916,85,87,1590,3,-1
1917,85,87,1590,3,1
1918,85,87,1590,4,1
1919,83,78,1590,2,-1
1920,85,103,1800,3,-1
1921,85,103,1800,2,1
1922,85,103,1800,2,-1
1923,85,103,1800,2,-1
1924,85,103,1800,2,-1
1925,85,103,1800,2,-1
1926,85,103,1800,2,-1
1927,92,105,2000,2,-1
1928,92,105,2000,2,1
1929,92,105,2000,1,-1
1930,92,105,2000,1,1
1931,92,105,2000,3,1
1932,90,90,1590,2,-1
1933,90,90,1590,2,-1
1934,90,90,1590,2,-1
1935,90,90,1590,2,-1
1936,90,90,1590,3,1
1937,80,91,1670,3,1
1938,80,91,1670,3,1
1939,80,91,1670,3,1
1940,93,72,1500,3,-1
1941,93,72,1500,3,-1
1942,93,72,1500,4,1
1943,93,72,1500,3,-1
1944,93,74,1450,3,-1
1945,93,74,1450,3,-1
1946,97.5,106,1980,2,1
1947,97.5,106,1980,2,-1
1948,97.5,106,1980,2,-1
1949,97.5,106,1980,2,-1
1950,97.5,106,1980,2,-1
1951,97.5,116,2120,2,1
1952,97.5,116,2120,1,-1
1953,97.5,116,2120,2,-1
1954,97.5,116,2120,2,-1
1955,97.5,116,2120,2,-1
1956,97.5,107,1900,2,1
1957,97.5,107,1900,2,-1
1958,97.5,107,1900,2,-1
1959,97.5,107,1900,2,-1
1960,97.5,107,1900,2,-1
1961,97.5,107,1900,2,-1
1962,97.5,102,2040,2,1
1963,97.5,102,2040,2,-1
1964,97.5,102,2040,2,-1
1965,97.5,102,2040,2,-1
